-0,-0,Location,-0,-0,CLManager,-0,-0,CMManagerDevMotMag,-0,-0,CMManagerMag,-0,-0,Sound,-0
Transaction,MAE,HAV,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-08-01_Asda100A1_Ill,-0,0.7915745572,-0,590.604050096,-0.2108435027,-0.2108435038,524.342968084,0.9586132311,0.9586132311,127.944565541,0.4405263063,0.4405263087,-0,-0.0548464882,-0
16-08-01_Asda100A10_Ill,-0,0.0373700924,-0,590.658724926,-0.0153437086,-0.0153437089,524.970930612,0.9340445109,0.9340445109,122.398255234,-0.2200571091,-0.2200571143,-0,-0.0549574535,-0
16-08-01_Asda100A2_Ill,-0,0.0584737087,-0,590.487193849,-0.1912261376,-0.1912261385,525.131736201,0.9911117525,0.9911117525,122.416206019,0.2992993487,0.2992993599,-0,0.0266976241,-0
16-08-01_Asda100A3_Ill,-0,0.0546506175,-0,590.228435641,-0.0875688223,-0.087568823,524.027303627,0.9543198708,0.9543198708,122.397022584,0.2175861656,0.2175861599,-0,0.0044666602,-0
16-08-01_Asda100A4_Ill,-0,0.0565373541,-0,590.437897379,0.4213992877,0.4213992879,524.975874681,0.9910301633,0.9910301633,122.269935748,-0.1230175085,-0.1230175104,-0,0.0352540829,-0
16-08-01_Asda100A5_Ill,-0,0.057401798,-0,590.612345301,0.0266579763,0.0266579759,524.136716111,0.9537432294,0.9537432294,122.35572033,0.3835971168,0.3835971118,-0,0.0836534101,-0
16-08-01_Asda100A6_Ill,-0,0.0527683768,-0,590.701583432,0.2855946986,0.2855946964,525.270935441,0.990756245,0.990756245,122.347457931,-0.3276486224,-0.3276486097,-0,-0.0402141308,-0
16-08-01_Asda100A7_Ill,-0,0.0550725556,-0,590.399599742,0.0135192695,0.013519269,524.402472473,0.9570088032,0.9570088032,122.277527602,-0.1082349787,-0.108234996,-0,-0.077508185,-0
16-08-01_Asda100A8_Ill,-0,0.0502768839,-0,590.543351472,-0.1131915064,-0.1131915071,525.111049832,0.9909077625,0.9909077625,122.452719717,0.0384974954,0.0384974963,-0,0.0348176599,-0
16-08-01_Asda100A9_Ill,-0,0.055628595,-0,590.43357831,-0.0096476334,-0.0096476336,523.991454928,0.9531730571,0.9531730571,122.177092972,-0.2659634451,-0.2659634584,-0,-0.0197997408,-0
16-08-01_Asda100B1_Ill,-0,0.0463247874,-0,605.208449817,0.2133874952,0.2133874957,537.514867603,0.9358274209,0.9358274209,87.6881605621,-0.6998816578,-0.6998816643,-0,-0.0108849235,-0
16-08-01_Asda100B10_Ill,-0,0.0713820148,-0,606.204084279,0.0876921803,0.0876921808,538.098694142,0.9764785597,0.9764785597,91.0225592255,-0.0897962668,-0.08979626,-0,0.0606279764,-0
