-0,-0,Location,-0,-0,CLManager,-0,-0,CMManagerDevMotMag,-0,-0,CMManagerMag,-0,-0,Sound,-0
Transaction,MAE,HAV,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-08-01_HomeA1_Leg,-0,0.007484428,-0,670.665469364,-0.0774997103,-0.0774997087,3.7462809632,0.968844991,0.968844991,99.3541612019,-0.5536632087,-0.5536632106,-0,-0.003741797,-0
16-08-01_HomeA10_Leg,-0,0.0159239757,-0,670.863212751,0.0243708807,0.0243708817,7.061271148,0.9907996992,0.9907996992,99.606415137,-0.0985552789,-0.0985552704,-0,0.2821356609,-0
16-08-01_HomeA2_Leg,-0,0.01603006,-0,670.540773286,-0.6083013724,-0.6083013704,7.8995630804,0.9418556775,0.9418556775,99.2244822529,-0.2858819854,-0.2858819741,-0,0.4926999819,-0
16-08-01_HomeA3_Leg,-0,0.0137428694,-0,670.531546756,0.4612956814,0.461295676,7.0034489068,0.9907377185,0.9907377185,99.1811903611,0.4587122142,0.4587122063,-0,0.2735812599,-0
16-08-01_HomeA4_Leg,-0,0.0119399602,-0,670.618109793,-0.1224541088,-0.1224541056,7.6637578389,0.9519443334,0.9519443334,99.3924326713,0.1354139871,0.1354139931,-0,-0.0528929088,-0
16-08-01_HomeA5_Leg,-0,0.0100005864,-0,670.759008471,0.0520364745,0.0520364755,7.2198967118,0.9906953433,0.9906953433,99.7146206344,0.0591250284,0.0591250067,-0,-0.3446730108,-0
16-08-01_HomeA6_Leg,-0,0.0107560013,-0,670.848454828,0.1179638934,0.117963894,7.9501993552,0.9517937994,0.9517937994,99.4829186594,0.0873920353,0.0873920396,-0,-0.0872377919,-0
16-08-01_HomeA7_Leg,-0,0.0126497115,-0,670.741151923,-0.3083712343,-0.3083712342,7.3053135423,0.990740836,0.990740836,99.59002802,0.1623185518,0.1623185605,-0,-0.2876423777,-0
16-08-01_HomeA8_Leg,-0,0.0149715651,-0,670.73780529,-0.0429323348,-0.0429323366,7.3206820577,0.9909260271,0.9909260271,99.5557033383,-0.0336100771,-0.0336100959,-0,-0.1545156912,-0
16-08-01_HomeA9_Leg,-0,0.0168370599,-0,670.762920365,-0.0312471563,-0.0312471555,7.5418171461,0.9537475965,0.9537475965,99.6220474612,0.5636567452,0.5636567339,-0,0.099496343,-0
16-08-01_HomeB1_Leg,-0,0.0974753377,-0,671.312663853,-0.1796532366,-0.1796532357,7.9937214595,0.9526043921,0.9526043921,100.094078554,-0.1496072462,-0.1496072398,-0,-0.0789210108,-0
16-08-01_HomeB10_Leg,-0,0.0222119187,-0,671.166162156,0.2262345489,0.2262345475,7.3379097253,0.9915409541,0.9915409541,100.096495732,0.4068164403,0.4068164395,-0,-0.2312136684,-0
16-08-01_HomeB2_Leg,-0,0.015380865,-0,671.10907803,-0.3089961351,-0.3089961269,7.0592729161,0.9996691133,0.9996691133,99.721452444,-0.3380298749,-0.3380298478,-0,0.0012991914,-0
16-08-01_HomeB3_Leg,-0,0.0206261618,-0,671.226607066,-0.0663972975,-0.0663972976,8.6251122191,0.9342211381,0.9342211381,99.9821289199,-0.0099139726,-0.0099139915,-0,0.3561984981,-0
16-08-01_HomeB4_Leg,-0,0.0241053777,-0,671.183306427,-0.0100828628,-0.0100828646,7.5904072031,0.9906475486,0.9906475486,99.9734687021,-0.3776240777,-0.3776240839,-0,0.4404110331,-0
16-08-01_HomeB5_Leg,-0,0.011503101,-0,671.082776226,0.1455997714,0.1455997698,7.5903206696,0.9903022199,0.9903022199,99.841400672,0.3984037604,0.3984037704,-0,-0.1723646778,-0
16-08-01_HomeB6_Leg,-0,0.0094203461,-0,671.124539853,0.439873177,0.4398731783,7.7435966784,0.9812680041,0.9812680041,99.9591595092,-0.1300449036,-0.1300449056,-0,-0.669518646,-0
16-08-01_HomeB7_Leg,-0,0.0090152219,-0,671.134694955,0.4167814605,0.4167814629,8.6975604244,0.9252927946,0.9252927946,100.144389536,0.081267032,0.0812670282,-0,-0.6941027749,-0
16-08-01_HomeB8_Leg,-0,0.0108104774,-0,671.202181466,0.0423170836,0.0423170828,7.9298235776,0.9540518761,0.9540518761,99.9632891097,-0.1437959585,-0.1437959514,-0,-0.149127969,-0
16-08-01_HomeB9_Leg,-0,0.0157084101,-0,671.10521821,0.4632182506,0.4632182522,8.0495110876,0.9601783335,0.9601783335,99.8516871208,0.0373777983,0.0373778064,-0,0.4865759943,-0
16-08-01_HomeC1_Leg,-0,0.0226994284,-0,671.170009395,0.1951086629,0.1951086683,7.1215798182,0.9998100611,0.9998100611,100.166244517,0.1833469151,0.1833469109,-0,0.0427114101,-0
16-08-01_HomeC10_Leg,-0,0.0249842663,-0,671.250689163,-0.2422830812,-0.2422830816,7.5322313519,0.9908988968,0.9908988968,100.140844352,-0.1007930478,-0.1007930755,-0,-0.6258966376,-0
16-08-01_HomeC2_Leg,-0,0.018923314,-0,671.175446959,0.0550000396,0.0550000393,7.6706932825,0.9903511556,0.9903511556,99.8915224207,0.2074192128,0.2074192034,-0,-0.1525918504,-0
16-08-01_HomeC3_Leg,-0,0.0073808565,-0,671.212613756,0.0008126907,0.0008126917,7.9604344898,0.9687160655,0.9687160655,100.062382004,-0.4022160233,-0.4022160238,-0,0.5574064204,-0
16-08-01_HomeC4_Leg,-0,0.0123510572,-0,671.270207162,-0.1087017491,-0.108701752,7.5687685405,0.9903477197,0.9903477197,100.109455894,0.1239879047,0.1239878899,-0,-0.060806,-0
16-08-01_HomeC5_Leg,-0,0.0099825745,-0,671.150453589,-0.5446609449,-0.5446609299,9.6512089647,0.8330866213,0.8330866213,100.002047431,-0.3903806806,-0.3903806917,-0,-0.0196521153,-0
16-08-01_HomeC6_Leg,-0,0.0161337914,-0,671.157972927,-0.1236300029,-0.1236300051,7.6465096388,0.990619518,0.990619518,100.156910617,-0.1607387028,-0.160738708,-0,-0.1000858099,-0
16-08-01_HomeC7_Leg,-0,0.0234712083,-0,671.265071327,0.2401114907,0.2401114913,7.7350773512,0.9869636677,0.9869636677,100.191040822,-0.0261069995,-0.0261069897,-0,0.0786156864,-0
16-08-01_HomeC8_Leg,-0,0.022972769,-0,671.442763208,0.4317434614,0.4317434619,8.8423420851,0.9193266489,0.9193266489,100.075339641,-0.3372470151,-0.3372470367,-0,-0.1337829322,-0
16-08-01_HomeC9_Leg,-0,0.0247147735,-0,671.403614496,0.0752769239,0.0752769218,8.7571362002,0.9310666048,0.9310666048,100.091047007,-0.0329118242,-0.0329118014,-0,0.2798744741,-0
16-08-01_HomeD1_Leg,-0,0.0238773744,-0,671.264740301,0.0290030138,0.0290030144,8.6074258344,0.9277712823,0.9277712823,100.087744228,-0.1292098397,-0.129209848,-0,0.3129846621,-0
16-08-01_HomeD10_Leg,-0,0.0176124835,-0,671.246350594,-0.3548105269,-0.3548105174,7.7748029213,0.9908829637,0.9908829637,100.271284031,0.47507771,0.4750777057,-0,0.1522415937,-0
16-08-01_HomeD2_Leg,-0,0.0226377378,-0,671.056038911,-0.2504873158,-0.2504873125,8.7662473127,0.9104770317,0.9104770317,100.083439387,-0.0737669577,-0.0737669593,-0,-0.6191988552,-0
16-08-01_HomeD3_Leg,-0,0.0220726251,-0,671.213328476,0.1506745558,0.1506745567,8.3525764868,0.944662807,0.944662807,100.172690724,-0.1641739786,-0.1641739428,-0,0.5356348394,-0
16-08-01_HomeD4_Leg,-0,0.0187644123,-0,671.4189745,0.102173465,0.102173463,7.603269476,0.9904980863,0.9904980863,100.278797292,0.3433057265,0.3433057548,-0,-0.0658564219,-0
16-08-01_HomeD5_Leg,-0,0.008332245,-0,671.41995207,-0.3081370129,-0.3081370086,7.710270517,0.990538595,0.990538595,100.280113002,-0.0798270753,-0.0798270764,-0,-0.2980273976,-0
16-08-01_HomeD6_Leg,-0,0.0199287026,-0,671.337443993,-0.4086653657,-0.4086653701,7.6757068704,0.9909629049,0.9909629049,100.259220344,-0.219478951,-0.2194789598,-0,0.016115022,-0
16-08-01_HomeD7_Leg,-0,0.0363874743,-0,671.118844363,0.3813149382,0.3813149357,7.5805838559,0.9909718438,0.9909718438,100.499551125,-0.6380436298,-0.6380436436,-0,0.686771975,-0
16-08-01_HomeD8_Leg,-0,0.0265437117,-0,671.255914595,0.0688426086,0.0688426078,8.0008424473,0.9521318054,0.9521318054,100.297813035,0.3303245539,0.3303245434,-0,-0.0920958351,-0
16-08-01_HomeD9_Leg,-0,0.0307126043,-0,671.347158584,0.1646106908,0.164610689,8.0957041317,0.9529262862,0.9529262862,100.296933442,0.1888814718,0.1888814605,-0,0.7739480079,-0
16-08-01_HomeE1_Leg,-0,0.1229051365,-0,671.190777905,0.3434071682,0.3434071697,8.3301936521,0.9527822331,0.9527822331,99.9993178281,0.198389248,0.1983892094,-0,-0.2040380815,-0
16-08-01_HomeE10_Leg,-0,0.0210318286,-0,671.343916273,0.0450518885,0.0450518894,8.2305120185,0.961750614,0.961750614,100.27822498,-0.125315845,-0.1253158105,-0,-0.0614527657,-0
16-08-01_HomeE2_Leg,-0,0.2418222877,-0,671.338459455,-0.2495498856,-0.249549883,7.2672793337,0.9979141943,0.9979141943,100.123591154,0.7060582874,0.7060582835,-0,-0.3898191796,-0
16-08-01_HomeE3_Leg,-0,0.0118417301,-0,671.524114822,-0.1152422369,-0.1152422374,7.4360811184,0.9992232988,0.9992232988,100.300835486,0.0602596732,0.0602596919,-0,0.4261154095,-0
16-08-01_HomeE4_Leg,-0,0.0132302313,-0,671.38286539,0.0892736037,0.0892736027,8.0072392555,0.9529453192,0.9529453192,100.372292068,-0.2238268009,-0.2238267694,-0,-0.0043359433,-0
16-08-01_HomeE5_Leg,-0,0.0219042403,-0,671.344394479,-0.4213733515,-0.4213733575,7.4455352576,0.9966161631,0.9966161631,100.165994149,-0.3337144157,-0.3337144112,-0,0.0674661734,-0
16-08-01_HomeE6_Leg,-0,0.0222515648,-0,671.407357553,0.1634919773,0.1634919797,7.6790855359,0.9905311407,0.9905311407,100.255601175,0.0111869523,0.0111869486,-0,0.1253611146,-0
16-08-01_HomeE7_Leg,-0,0.03314389,-0,671.557992641,-0.0876696692,-0.087669669,7.3115514827,0.9995415063,0.9995415063,100.348365442,-0.5302834095,-0.5302834062,-0,-0.6286675905,-0
16-08-01_HomeE8_Leg,-0,0.0417694061,-0,671.262587192,-0.243317801,-0.2433178111,7.6558828696,0.9910854423,0.9910854423,100.142421609,-0.4949139229,-0.4949138728,-0,-0.6736487517,-0
16-08-01_HomeE9_Leg,-0,0.0452266102,-0,671.374893154,-0.2502014702,-0.2502014691,8.1972576513,0.9654026644,0.9654026644,100.115580344,-0.0899338548,-0.0899338594,-0,-0.1794040246,-0
16-08-01_HomeF1_Leg,-0,0.0127143344,-0,671.694859025,0.5815539179,0.5815539111,7.9443809455,0.9907433511,0.9907433511,100.583371078,-0.1496129769,-0.1496129796,-0,0.180159444,-0
16-08-01_HomeF10_Leg,-0,0.0131765798,-0,671.653357675,0.0849869276,0.0849869273,8.4169099896,0.9686062354,0.9686062354,100.743845419,-0.539013776,-0.5390137751,-0,0.7488734299,-0
16-08-01_HomeF2_Leg,-0,0.0222575017,-0,671.85159088,-0.3211549314,-0.3211549361,9.2504323489,0.9074600313,0.9074600313,100.380127406,-0.2503267359,-0.2503267338,-0,0.8107195569,-0
16-08-01_HomeF3_Leg,-0,0.0283868904,-0,671.66116143,-0.0843896482,-0.0843896495,7.9413118155,0.990560972,0.990560972,100.374814295,-0.1153475531,-0.1153475386,-0,0.4941695903,-0
16-08-01_HomeF4_Leg,-0,0.0258874539,-0,671.479548162,0.5762031958,0.5762031851,8.2319746345,0.9720398029,0.9720398029,100.409986621,0.1500419854,0.1500420062,-0,0.199778813,-0
16-08-01_HomeF5_Leg,-0,0.0155412249,-0,671.456317608,-0.2991766201,-0.2991766243,7.7050423432,0.995314241,0.995314241,100.372728143,0.0686790464,0.0686790588,-0,0.0154177408,-0
16-08-01_HomeF6_Leg,-0,0.0199977844,-0,671.578374828,0.0214345376,0.0214345376,7.9933853015,0.9907905224,0.9907905224,100.323117652,0.4515964106,0.4515964084,-0,0.107273159,-0
16-08-01_HomeF7_Leg,-0,0.0253847048,-0,671.574738925,-0.1804302942,-0.1804302995,8.282180435,0.9528593407,0.9528593407,100.502098128,0.407815254,0.4078152621,-0,0.5051531761,-0
16-08-01_HomeF8_Leg,-0,0.0333614865,-0,671.625925294,-0.1538836237,-0.1538836273,7.6860283962,0.9909819231,0.9909819231,100.520040648,-0.3726403647,-0.3726403615,-0,0.0425966997,-0
16-08-01_HomeF9_Leg,-0,0.0189529632,-0,671.64826627,-0.1197532173,-0.119753215,7.6646365122,0.9933946512,0.9933946512,100.476613356,0.5350408605,0.5350408674,-0,-0.487165978,-0
16-08-01_HomeG1_Leg,-0,0.00843408,-0,671.467575679,-0.0838292225,-0.0838292188,8.0226329145,0.9916655334,0.9916655334,100.492212825,0.3798871517,0.3798871526,-0,-0.2639787558,-0
16-08-01_HomeG10_Leg,-0,0.0237933051,-0,671.611310654,0.0741201534,0.0741201527,8.3163501008,0.9532362382,0.9532362382,100.480702569,0.0200248786,0.0200248808,-0,0.6046612199,-0
16-08-01_HomeG2_Leg,-0,0.0143561025,-0,671.655291085,0.2718017213,0.2718017205,8.7144907314,0.939308178,0.939308178,100.533199216,0.1271050439,0.1271050433,-0,0.7851314046,-0
16-08-01_HomeG3_Leg,-0,0.0147805444,-0,671.725058871,0.1131425994,0.1131426001,8.073901535,0.9911142765,0.9911142765,100.270127409,-0.1072330136,-0.1072330218,-0,0.0680034714,-0
16-08-01_HomeG4_Leg,-0,0.0093622146,-0,671.492578278,-0.1610935114,-0.1610935104,9.1006399839,0.9206762059,0.9206762059,100.493183346,-0.3146230827,-0.3146230223,-0,0.0237313394,-0
16-08-01_HomeG5_Leg,-0,0.0099548776,-0,671.580495435,-0.1534291297,-0.1534291301,8.4911849127,0.9681974617,0.9681974617,100.470806303,0.6191564132,0.6191563869,-0,-0.5358849791,-0
16-08-01_HomeG6_Leg,-0,0.011892227,-0,671.566749933,0.1638849848,0.1638849845,9.1042791437,0.9111115358,0.9111115358,100.463055238,-0.1880328672,-0.1880328594,-0,-0.2762091853,-0
