-,-,CMManagerAcc,-,-,CMManagerDevMotAcc,-,-,CMManagerDevMotAccGrav,-,-,Attitdue,-,-,-,AttitudeQuaternion,-,-,-,AttitudeRotationMatrix,-,-,CLManager,-,-,CMManagerDevMotMag,-,-,CMManagerMag,
Transaction,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,DOT,DIFF,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-07-27_Flat_E_18_N1_Ill,0.00726770977325,0.0290520882973,0.0290520882779,0.00505091021288,0.149860957245,0.149860957245,2.23481465386e-07,0.0867489989101,0.0930820064663,0.217698438551,-0.377579031848,-0.377579034086,0.108195895807,-0.374369022012,-0.374369022665,0.994009596615,0.219018942928,-,-,-,689.311954245,-0.188735157787,-0.188735154804,4.97129304503,0.958133559164,0.958133559164,90.3567260307,0.231475381121,0.231475384669
16-07-27_Flat_E_18_N10_Ill,0.00631604790606,0.173311911993,0.173311912112,0.00483071231581,-0.103863472988,-0.103863472988,3.24948379416e-07,-0.212223712981,-0.202729176386,0.220998301545,-0.879462292679,-0.879462292845,0.109848885171,-0.879345095558,-0.879345095186,0.993771803438,0.223332559869,-,-,-,689.041235855,0.282325176881,0.282325177884,3.77183283173,0.998686955479,0.998686955479,90.3248290085,-0.344100619482,-0.344100617083
16-07-27_Flat_E_18_N2_Ill,0.006092461847,0.0328428883158,0.0328428883076,0.00552808856505,-0.0300432443083,-0.0300432443083,2.5892358264e-07,-0.0441656751287,-0.0453298413912,0.218814522153,-0.61811866202,-0.618118663415,0.108754352938,-0.617164504132,-0.617164505576,0.993923689479,0.2205872293,-,-,-,689.238746868,-0.213620312825,-0.213620312057,4.53074434026,0.995769311873,0.995769311873,90.5104118203,0.0153377211703,0.0153377090299
16-07-27_Flat_E_18_N3_Ill,0.00720757665008,-0.139059666117,-0.139059666182,0.00470491628842,-0.172030953674,-0.172030953674,2.35922882718e-07,0.0763004012439,0.0706148464404,0.221758997852,0.98380193104,0.983801930975,0.110228627401,0.983796706571,0.983796706555,0.9937507652,0.223709046443,-,-,-,689.11905152,0.0581861032911,0.0581861018548,5.02267008352,0.921388340029,0.921388340029,90.3501135664,-0.0535186330645,-0.0535186445045
16-07-27_Flat_E_18_N4_Ill,0.00783347792754,-0.10042478003,-0.100424780216,0.00568347061292,-0.0410442897444,-0.0410442897444,3.15046516143e-07,-0.14775624093,-0.153821809174,0.222654679419,-0.872177394167,-0.872177394131,0.110662429284,-0.872608158541,-0.872608158526,0.993658245307,0.225357572771,-,-,-,689.059824794,0.380969501403,0.380969504912,5.73880842785,0.918919775461,0.918919775461,90.5768995228,-0.0200247474723,-0.0200247498371
16-07-27_Flat_E_18_N5_Ill,0.00749384061075,-0.0978292559973,-0.0978292561219,0.00547649034156,0.278067026653,0.278067026653,2.79844118891e-07,0.0701775319289,0.0646852993633,0.219400475307,-0.893174137352,-0.893174136938,0.109049599741,-0.893181956529,-0.893181957174,0.993885062198,0.221287852903,-,-,-,689.11599176,0.077145871897,0.0771458715401,3.85888538452,0.999695595953,0.999695595953,90.4100029872,0.228888025826,0.228887994419
16-07-27_Flat_E_18_N6_Ill,0.0065311870367,0.130621335559,0.130621335703,0.00524682560908,0.424742616054,0.424742616054,2.70931648913e-07,0.051634881089,0.0408949406659,0.218724964496,0.710936276956,0.710936278073,0.108709204697,0.711591571724,0.711591571375,0.993903860011,0.220947262856,-,-,-,689.220947338,0.1338354293,0.13383543093,4.63710035642,0.969266376846,0.969266376846,90.5925107693,-0.086510511537,-0.086510504993
16-07-27_Flat_E_18_N7_Ill,0.00716730183747,-0.189655524926,-0.189655525199,0.00577510282485,0.115896907146,0.115896907146,3.13192435481e-07,-0.135757869981,-0.134950861617,0.219381325389,0.690931483753,0.690931483974,0.109041679444,0.68701798949,0.687017989602,0.99384840943,0.221954611694,-,-,-,689.114224413,-0.070272352944,-0.0702723524963,4.10145009687,0.999778133234,0.999778133234,90.2486441771,0.274001860155,0.274001866137
16-07-27_Flat_E_18_N8_Ill,0.00677855507075,0.0137910692878,0.013791069671,0.00667172171557,0.0424534526231,0.0424534526231,2.35116438042e-07,0.216254243341,0.215561995459,0.220163893609,-0.90911362393,-0.90911362397,0.10943222632,-0.909920234737,-0.909920234559,0.993815307081,0.222550031979,-,-,-,688.952680176,0.145230189522,0.145230188315,4.28806651083,0.990716520244,0.990716520244,90.1161119797,-0.00320958149794,-0.00320959623737
16-07-27_Flat_E_18_N9_Ill,0.00706397247873,-0.224504784513,-0.224504784463,0.00630293244458,0.222988917192,0.222988917192,2.4843760153e-07,-0.0704859081517,-0.081670929334,0.22129189488,0.737618715079,0.737618715198,0.109985734718,0.736588610771,0.73658861063,0.993760394716,0.223537595225,-,-,-,689.130776014,0.198235384152,0.198235387677,4.25061400854,0.954986215579,0.954986215579,90.4162932513,0.237017029987,0.23701703417
16-07-27_Flat_E_27_N1_Ill,0.00863601275893,0.0523920243808,0.0523920243515,0.0100828713096,-0.086138596597,-0.086138596597,2.48860989358e-07,0.080759452006,0.0822537020711,0.392648706311,0.927625371011,0.927625371583,0.193985656783,0.928021450588,0.928021450687,0.980738476225,0.393178169666,-,-,-,691.964120768,0.00325573464283,0.00325573405221,9.33120277674,0.895218201091,0.895218201091,94.3013991295,0.310777285733,0.31077728185
16-07-27_Flat_E_27_N10_Ill,0.00879693917048,-0.116448450203,-0.116448450241,0.00839874080162,-0.295809710891,-0.295809710891,2.22642901028e-07,0.355366960904,0.354840979671,0.394974172255,-0.663609282049,-0.663609282012,0.195126044516,-0.66342150258,-0.663421502556,0.980493690782,0.395673761282,-,-,-,691.433038865,-0.501611919398,-0.501611908875,8.67316586956,0.966265674,0.966265674,93.8619685421,-0.210182125777,-0.210182120078
16-07-27_Flat_E_27_N2_Ill,0.00879234348394,-0.191066277899,-0.191066277867,0.0084165394809,-0.0847154924042,-0.0847154924042,2.93736107433e-07,0.0493779002373,0.0498632176576,0.392472227225,-0.705204726719,-0.705204726886,0.193887356301,-0.704370757751,-0.704370757428,0.980659214577,0.393988631617,-,-,-,691.868156092,0.341577556048,0.341577550288,8.74042059017,0.97861045522,0.97861045522,94.261215116,-0.486187876865,-0.486187876182
16-07-27_Flat_E_27_N3_Ill,0.00893065311754,-0.232923490008,-0.232923490205,0.00631548219064,-0.147967272045,-0.147967272045,3.16610447293e-07,-0.193363913527,-0.202302424506,0.396005983682,-0.789656630424,-0.789656630432,0.195666065614,-0.789944357703,-0.789944356511,0.980219532214,0.398454450888,-,-,-,691.361141174,0.0453316927627,0.0453316928197,8.44919196593,0.990701368819,0.990701368819,93.8926612532,-0.0817348240063,-0.0817348256998
16-07-27_Flat_E_27_N4_Ill,0.00846492352997,-0.220353276558,-0.220353276686,0.00523897324723,0.217484980527,0.217484980527,2.3975485138e-07,0.113228577532,0.115059715445,0.390394421509,0.0494900844887,0.0494900843447,0.19286696834,0.0482053778501,0.0482053773047,0.980831219548,0.392227598505,-,-,-,691.576647365,0.00365619352477,0.00365619369599,8.45508325907,0.991047056514,0.991047056514,93.9488089782,-0.519731413606,-0.519731436748
16-07-27_Flat_E_27_N5_Ill,0.00844583327576,-0.144983261511,-0.144983261961,0.00768370277574,0.105704352377,0.105704352377,2.86878695052e-07,0.0540471036177,0.0529745496412,0.393032687252,0.808171722652,0.808171725214,0.194180254944,0.812268773269,0.812268777127,0.980586935619,0.394727470398,-,-,-,691.418339752,-0.00191317329804,-0.00191317200236,8.16741200514,0.991676966409,0.991676966409,93.8629535084,0.179408776911,0.179408763314
16-07-27_Flat_E_27_N6_Ill,0.00832890585941,-0.0827577171295,-0.0827577169304,0.00461067446149,-0.162160521509,-0.162160521509,2.97378805202e-07,0.00219031928179,-0.00250564405585,0.391313957852,0.57661933317,0.576619333184,0.193309626222,0.57690409414,0.576904094321,0.980708748023,0.393481812645,-,-,-,691.581336196,-0.0603778112657,-0.060377812226,8.36606619996,0.990565512639,0.990565512639,93.8996870172,-0.0983146962039,-0.0983147002289
16-07-27_Flat_E_27_N7_Ill,0.00819789628373,0.140773641863,0.140773641861,0.0059050246169,-0.0396808705823,-0.0396808705823,2.50573045435e-07,0.0715599579868,0.0637706790026,0.385362441953,-0.743327306796,-0.743327306808,0.190357076675,-0.74102731617,-0.741027315982,0.981276295496,0.387631916115,-,-,-,691.392991562,-0.489009089698,-0.48900909359,8.2664238806,0.995265408554,0.995265408554,93.7595797475,-0.0390920120017,-0.0390920058087
16-07-27_Flat_E_27_N8_Ill,0.00886564114948,0.269532366543,0.269532366747,0.00482165131262,-0.134293418182,-0.134293418182,3.21503314156e-07,-0.308463063869,-0.312887048445,0.389645865715,0.512845433337,0.512845433066,0.192491842387,0.51383671426,0.513836714098,0.980878941552,0.391736748426,-,-,-,691.265776734,-0.336624669545,-0.336624668095,8.4672700322,0.954052543545,0.954052543545,93.8036878794,-0.0424118638707,-0.0424118713307
16-07-27_Flat_E_27_N9_Ill,0.00923138609697,-0.0934633951921,-0.0934633948869,0.00465568192874,0.096496188826,0.096496188826,3.46968833109e-07,-0.307706665189,-0.306590579229,0.393223955161,-0.935027767281,-0.935027767598,0.19427834496,-0.934980706037,-0.934980706269,0.980675973824,0.393818436701,-,-,-,691.726032159,-0.0775322999381,-0.0775322978237,8.1633500477,0.997863787102,0.997863787102,94.1076976009,-0.619774980916,-0.619774996495
16-07-27_Flat_E_36_N1_Ill,0.00769241389418,-0.0442314454268,-0.044231445782,0.00463845753751,0.448112289714,0.448112289714,2.57583107182e-07,-0.00547413165282,-0.00372032665902,0.52776754561,0.210286225571,0.210286226157,0.258927853806,0.216072595068,0.216072594885,0.964968832964,0.530944446135,-,-,-,690.248464926,-0.0659507333389,-0.0659507351743,7.86204790254,0.969000079893,0.969000079893,97.6093889316,0.285953890469,0.28595388878
16-07-27_Flat_E_36_N10_Ill,0.0104116208736,-0.0443452025604,-0.044345202145,0.00330396051981,0.260662126885,0.260662126885,1.93220437706e-07,0.450311257363,0.459310379091,0.522054246112,-0.0838205998046,-0.0838206001926,0.256076452294,-0.0926808961517,-0.0926808982218,0.965455316149,0.527222479526,-,-,-,689.989271762,0.166007904647,0.166007905543,7.7521342195,0.968945738479,0.968945738479,97.2318813527,-0.106893025745,-0.106893004199
16-07-27_Flat_E_36_N2_Ill,0.00988597175006,-0.0403480762161,-0.0403480767891,0.00423822793233,0.181859502526,0.181859502526,3.20126148429e-07,-0.0448679337655,-0.0505739421637,0.529815301164,0.815993462922,0.815993459033,0.259951383805,0.813221042206,0.813221052848,0.964580464096,0.533896715528,-,-,-,690.242404374,0.129162278629,0.129162277825,8.44970607086,0.815386219265,0.815386219265,97.4096798835,0.304273248515,0.304273234108
16-07-27_Flat_E_36_N3_Ill,0.00996212954906,0.196623742227,0.196623742353,0.00439667048785,0.10507498017,0.10507498017,2.62901951856e-07,0.112870474122,0.112456292035,0.530979506321,0.70314961427,0.703149614465,0.260533189185,0.704811259914,0.704811259812,0.964435934117,0.534991812764,-,-,-,690.342727172,-0.336790859427,-0.336790860009,8.22150433717,0.839705193776,0.839705193776,97.5409262481,0.103696496318,0.103696489808
16-07-27_Flat_E_36_N4_Ill,0.0101126848474,-0.117263131884,-0.117263131576,0.00377409302256,-0.0608538713808,-0.0608538713808,2.67227380346e-07,0.0294941588272,0.0357144739552,0.52962996802,-0.63676792655,-0.636767926173,0.259850424905,-0.639136215718,-0.639136215296,0.964521255872,0.534344055851,-,-,-,690.036082544,0.396574880248,0.396574880002,8.28545196103,0.844955779983,0.844955779983,96.9752932312,-0.225545896519,-0.225545892254
16-07-27_Flat_E_36_N5_Ill,0.00905931908443,-0.147171276864,-0.147171276826,0.00361868587224,-0.284230846304,-0.284230846304,2.61460403961e-07,0.0133079386611,0.00807108022536,0.531516908176,-0.498360054039,-0.498360054707,0.260784895547,-0.492985642228,-0.492985642119,0.964314131453,0.535912052679,-,-,-,690.154418916,0.280916635307,0.280916634908,7.86593505009,0.984490406753,0.984490406753,97.4295892894,0.341609810293,0.341609808296
16-07-27_Flat_E_36_N6_Ill,0.0103125436779,0.0790291264754,0.0790291262109,0.00379038596214,0.166483155327,0.166483155327,2.80172896423e-07,0.0266268420006,0.0281377803124,0.530354788978,0.338061714435,0.338061714858,0.260203789836,0.338388195424,0.338388193738,0.964453494689,0.534858748223,-,-,-,690.292313311,0.300658358178,0.300658360255,7.70073801338,0.966621732997,0.966621732997,97.3063845089,0.194602227193,0.194602213357
16-07-27_Flat_E_36_N7_Ill,0.0100172706117,0.208736060929,0.20873606071,0.00337402316693,0.0443335744602,0.0443335744602,2.64187281731e-07,-0.0820972340153,-0.0840222241968,0.529883040462,-0.463821539091,-0.463821535367,0.259968087579,-0.461812131391,-0.461812140603,0.964456775109,0.534833681165,-,-,-,690.060926235,0.720344174875,0.720344176019,7.8093409127,0.959354643546,0.959354643546,97.3542178865,0.217105310428,0.217105313233
16-07-27_Flat_E_36_N8_Ill,0.0103252769527,0.225087100941,0.225087100838,0.00485948104678,-0.235642490939,-0.235642490939,3.42955302697e-07,-0.512169465079,-0.513443488286,0.528154443007,-0.301815620245,-0.301815619011,0.259134745548,-0.310078768173,-0.310078767347,0.964722653822,0.532816674649,-,-,-,689.948124364,0.288200995683,0.288200994431,7.8437963498,0.888654852904,0.888654852904,97.0768670468,0.0962024659644,0.0962024928751
16-07-27_Flat_E_36_N9_Ill,0.0102774158287,0.0164196456376,0.0164196457854,0.00356385701969,0.00573060688051,0.00573060688051,2.75575539915e-07,-0.288153871292,-0.296701042669,0.528622020294,0.844701191194,0.84470118637,0.259344358019,0.842396952975,0.842396943219,0.964665338526,0.533251886414,-,-,-,690.117494509,0.249498890234,0.249498889559,7.92577931479,0.886507667832,0.886507667832,97.2317020302,-0.464277190818,-0.464277199708
16-07-27_Flat_E_36_Nrep1_Ill,0.0100262365334,0.048123328182,0.048123328119,0.00348338126656,0.146734241164,0.146734241164,2.68235911348e-07,0.0392843722147,0.0331989650052,0.521446318004,-0.199202813252,-0.199202811948,0.255769354074,-0.209011811005,-0.209011813098,0.965562138934,0.526401744536,-,-,-,689.294449459,0.156422757316,0.156422756357,7.45395658887,0.912391327431,0.912391327431,96.6831923851,-0.205599990665,-0.205599992671
16-07-27_Flat_E_36_Nrep10_Ill,0.0105873031948,-0.0733994999206,-0.0733995002432,0.00365109544716,0.0372981310613,0.0372981310612,2.61069674214e-07,-0.0577080753932,-0.0424755476491,0.522454958374,-0.0927882364308,-0.0927882368462,0.256264426929,-0.0974151609323,-0.0974151610656,0.965383662155,0.527771430026,-,-,-,689.358512711,0.179303125804,0.179303124314,7.50655993199,0.913875068843,0.913875068843,96.497188678,-0.128080818832,-0.12808082457
16-07-27_Flat_E_36_Nrep2_Ill,0.0100937636615,0.0198498012578,0.0198498010641,0.00377000378413,-0.108790097121,-0.108790097121,2.80674926035e-07,0.0397392396168,0.0343053878092,0.517917326741,0.922362790263,0.922362794934,0.254028567065,0.921719474084,0.92171947392,0.965883854497,0.523924278438,-,-,-,689.49959272,0.00727541299251,0.00727541355068,6.91550027774,0.990899353558,0.990899353558,96.6287976065,-0.0701453101534,-0.0701453197499
16-07-27_Flat_E_36_Nrep3_Ill,0.0102806748684,-0.407147648883,-0.407147648517,0.00887491049363,0.343452744446,0.343452744446,2.49100670085e-07,0.108084564151,0.107929637634,0.521185174026,0.624121496963,0.624121496583,0.25562672311,0.631637096134,0.631637096198,0.965552601824,0.526474728787,-,-,-,689.457995833,-0.122148566258,-0.12214856663,6.81267665342,0.99102681248,0.99102681248,96.6450554751,-0.0630508068936,-0.0630508222796
16-07-27_Flat_E_36_Nrep4_Ill,0.0116926898488,-0.0656569916083,-0.0656569922368,0.00490305202753,-0.0216515531794,-0.0216515531794,3.02505030598e-07,0.0875642341782,0.0859214483316,0.516270521297,-0.380879983132,-0.380879968779,0.253179016782,-0.384068928429,-0.384068936377,0.966017317891,0.522890741028,-,-,-,689.29629386,-0.0793493838657,-0.0793493833075,6.98184695525,0.991794869346,0.991794869346,96.4874213659,0.161760236346,0.16176020983
16-07-27_Flat_E_36_Nrep5_Ill,0.00892746176728,-0.241820312151,-0.241820312751,0.00817150761464,0.103368382423,0.103368382423,2.56898917481e-07,0.193459603821,0.195600107673,0.51945909081,-0.960797953148,-0.960797952183,0.254798349665,-0.960774140057,-0.960774140925,0.965735045055,0.525070993215,-,-,-,689.413915918,0.238811427623,0.23881142835,7.64315093738,0.930276530727,0.930276530727,96.4706923453,0.226367483799,0.22636747312
16-07-27_Flat_E_36_Nrep6_Ill,0.0101840505643,0.134685950733,0.13468595036,0.00291127725806,-0.215416654661,-0.215416654661,3.48654020624e-07,-0.312866408338,-0.320909809236,0.520022409927,-0.961517950122,-0.961517950442,0.255063717514,-0.961790604984,-0.961790604416,0.965695991537,0.525369955763,-,-,-,689.394751004,-0.0815865843076,-0.0815865837823,7.16378093453,0.948987078512,0.948987078512,96.6387875761,-0.0151498389068,-0.0151498453184
16-07-27_Flat_E_36_Nrep7_Ill,0.0100191380602,0.011535636934,0.011535636995,0.00298716748298,0.145495918884,0.145495918884,2.64661212273e-07,-0.0525822827925,-0.042323895569,0.521397240251,0.939144078481,0.939144079149,0.25572898673,0.940930939001,0.940930938873,0.965489917536,0.52695780046,-,-,-,689.425036783,0.0135472230916,0.0135472230136,7.40052079386,0.935669457477,0.935669457477,96.8041126632,0.160309219805,0.160309212225
16-07-27_Flat_E_36_Nrep8_Ill,0.0104420304437,-0.401884218263,-0.401884218151,0.00349063496321,-0.00287918945062,-0.00287918945062,2.62560098663e-07,0.168353463408,0.173050640173,0.522926099265,-0.672984136852,-0.672984136996,0.256492479361,-0.671923151533,-0.67192315208,0.965344162262,0.528074268797,-,-,-,689.274017657,0.125196509306,0.125196508428,6.65893754045,0.991341417437,0.991341417437,96.4401488011,-0.513133581848,-0.513133585885
16-07-27_Flat_E_36_Nrep9_Ill,0.0103416293555,0.153621262143,0.153621262038,0.00456058451456,-0.272723354766,-0.272723354766,2.49006355977e-07,0.233179352296,0.240500713391,0.522290914371,0.659560090989,0.659560090503,0.256198817537,0.658124919961,0.658124919998,0.965438818794,0.527349051882,-,-,-,689.359551458,0.353612056758,0.353612050185,6.97147823224,0.975319075104,0.975319075104,96.340735693,-0.360308770761,-0.360308709369
16-07-27_Flat_E_45_N1_Ill,0.0113622839452,-0.0306648249698,-0.0306648248121,0.00361090329182,-0.203242078935,-0.203242078935,2.44379185263e-07,0.131620637644,0.118961573834,0.676166522384,0.878677887822,0.87867789113,0.328657714807,0.878250037748,0.878250030077,0.942204366177,0.683292747503,-,-,-,656.370603318,0.296133519929,0.296133519414,23.7890073951,0.991599945065,0.991599945065,102.102431368,0.106224014933,0.106224023443
16-07-27_Flat_E_45_N10_Ill,0.0118676000384,0.155630420516,0.155630420482,0.00276186215566,0.158686922678,0.158686922678,2.71423248498e-07,-0.0697502455682,-0.0692625728258,0.64278012525,-0.420204148023,-0.420204149886,0.311993866857,-0.416324414687,-0.416324416312,0.947603740002,0.650293647872,-,-,-,657.157446221,0.254267068718,0.254267070788,23.2627811476,0.952691796929,0.952691796929,101.647455624,0.013849875645,0.013849883342
16-07-27_Flat_E_45_N2_Ill,0.0123635765997,-0.0444016796976,-0.0444016797,0.00296776475633,-0.0374965744198,-0.0374965744197,2.82153513292e-07,-0.0549245878052,-0.0582580561215,0.630950456418,0.158167669193,0.158167670093,0.306099540998,0.150788883119,0.150788887887,0.949606585213,0.637636618981,-,-,-,655.846379549,0.30579997989,0.305799980896,25.2954568784,0.922852016346,0.922852016346,101.863034495,0.407023480796,0.407023480922
16-07-27_Flat_E_45_N3_Ill,0.0112051961697,-0.0445580366279,-0.0445580367008,0.00442576931298,-0.0240522914581,-0.0240522914581,2.43035024661e-07,0.244505705505,0.241009402582,0.637069376356,0.245167190628,0.245167190607,0.309210205264,0.247653451642,0.247653451604,0.948681477711,0.643511164671,-,-,-,655.768045506,-0.113299892305,-0.113299889246,25.2139304775,0.931594703676,0.931594703676,101.481750737,-0.116721657165,-0.116721659622
16-07-27_Flat_E_45_N4_Ill,0.0116467782188,-0.027465612551,-0.0274656127908,0.00238869628172,0.211400799731,0.211400799731,2.41709913773e-07,0.305882494876,0.313788388319,0.640743916045,0.47464010877,0.474640278804,0.310978347438,0.476844428871,0.476844372883,0.948155187643,0.646832485767,-,-,-,657.774347307,-0.121736925712,-0.121736922674,22.0046277998,0.991024910015,0.991024910015,102.164872398,-0.480278151374,-0.480278127701
16-07-27_Flat_E_45_N5_Ill,0.0116838926364,-0.113976866938,-0.113976867227,0.00259273512364,0.0396322726889,0.0396322726889,3.15746902665e-07,-0.276104617899,-0.274465553743,0.644126552583,0.836635541165,0.836635543915,0.312669018196,0.83681796572,0.836817962861,0.947738380359,0.649448859936,-,-,-,657.520322715,-7.56101417426e-05,-7.56101968746e-05,22.5151302991,0.983219670942,0.983219670942,102.06272309,-0.092073710577,-0.0920736972473
16-07-27_Flat_E_45_N6_Ill,0.0116470054867,0.027610771135,0.0276107713506,0.00209634071929,-0.18056121514,-0.18056121514,2.83835966295e-07,0.00100379115813,0.0,0.63993066519,0.469052122265,0.469052180097,0.310562391202,0.471833146816,0.471833104682,0.948339686767,0.645671103183,-,-,-,657.64520141,0.234395251917,0.234395252063,22.2649756747,0.998917071284,0.998917071284,101.897083063,-0.539902139238,-0.539902107029
16-07-27_Flat_E_45_N7_Ill,0.0120204866878,0.226856079358,0.226856079293,0.00224202504907,0.271578026475,0.271578026475,3.20629997121e-07,0.00106333734169,-0.00540240709251,0.638308615189,-0.906192926008,-0.906192936006,0.30976138514,-0.906298961345,-0.906299002841,0.948603126469,0.644009072842,-,-,-,657.432653455,0.240909223041,0.240909218819,22.9116821472,0.952698089107,0.952698089107,101.946309152,-0.367754291972,-0.367754302908
16-07-27_Flat_E_45_N8_Ill,0.0116697900931,-0.07894590854,-0.0789459084486,0.0020768956244,-0.021157568109,-0.021157568109,2.72332676218e-07,-0.172102523766,-0.17204309295,0.638221759765,0.152763744916,0.152763746183,0.309714339533,0.150761447579,0.150761447958,0.948712735357,0.643315055874,-,-,-,657.342569017,-0.336273791566,-0.336273791935,22.3261212369,0.997433906487,0.997433906487,101.686687781,0.33240678575,0.332406785826
