-,-,CMManagerAcc,-,-,CMManagerDevMotAcc,-,-,CMManagerDevMotAccGrav,-,-,Attitdue,-,-,-,AttitudeQuaternion,-,-,-,AttitudeRotationMatrix,-,-,CLManager,-,-,CMManagerDevMotMag,-,-,CMManagerMag,
Transaction,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,DOT,DIFF,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-07-26_18_North1_Leg,0.006252626,-0.162294763,-0.162294763,0.005134196,-0.026424116,-0.026424116,2.39E-07,0.23120859,0.234146453,0.012466834,-0.776081896,-0.776081894,0.006153318,-0.774933369,-0.77493337,0.999979787,0.012707601,-,-,-,697.887231,0.382726027,0.382726037,14.55280213,0.952061137,0.952061137,121.9662799,0.534104935,0.534104935
16-07-26_18_North10_Leg,0.007340756,0.083241959,0.083241958,0.005579423,0.070769238,0.070769238,2.50E-07,0.11225932,0.108104374,0.013055196,-0.797179613,-0.797179614,0.006442862,-0.80100981,-0.801009808,0.999977792,0.013264503,-,-,-,697.9317335,-0.064801779,-0.06480178,14.19026746,0.993842621,0.993842621,121.8296047,0.308312476,0.308312478
16-07-26_18_North2_Leg,0.006855116,-0.098009325,-0.098009325,0.004995555,-0.12464328,-0.12464328,2.55E-07,0.077352991,0.077436501,0.011492799,-0.751617395,-0.751617397,0.005672086,-0.752166967,-0.752166969,0.999983379,0.011599363,-,-,-,697.8970511,-0.06318492,-0.063184919,14.06087867,0.995912375,0.995912375,121.7440344,0.133622036,0.133622037
16-07-26_18_North3_Leg,0.006589227,-0.043123239,-0.04312324,0.005650788,-0.014167118,-0.014167118,2.40E-07,0.177982235,0.175485561,0.01227172,0.552076611,0.552076607,0.006056512,0.532149874,0.532149872,0.999980232,0.012651584,-,-,-,697.822168,0.456286787,0.456286776,14.98040834,0.944237469,0.944237469,121.7958155,0.232133589,0.232133577
16-07-26_18_North4_Leg,0.006753697,0.404017681,0.404017681,0.005261374,-0.016043284,-0.016043284,2.57E-07,0.119837396,0.128833998,0.012325025,-0.278135728,-0.278135733,0.006082292,-0.282365953,-0.282365954,0.999980873,0.012392892,-,-,-,697.8233432,0.145847349,0.145847349,13.78943516,0.999822819,0.999822819,121.9009354,-0.262116913,-0.262116921
16-07-26_18_North5_Leg,0.006659436,-0.176253304,-0.176253304,0.005531432,0.09595951,0.09595951,2.81E-07,-0.002810704,-0.002674141,0.012735511,0.855858225,0.855858225,0.006284469,0.855818941,0.855818941,0.999979489,0.012649195,-,-,-,697.7289726,-0.072528662,-0.072528662,14.04387476,0.990276711,0.990276711,121.7776641,0.044806013,0.044805996
16-07-26_18_North6_Leg,0.006827539,0.055266757,0.055266757,0.00502368,0.327150431,0.327150431,2.86E-07,-0.059395512,-0.065593384,0.012153319,0.741937455,0.741937454,0.005997118,0.740139236,0.740139236,0.999981618,0.012141461,-,-,-,697.9007225,-0.212794462,-0.212794463,14.94453412,0.939766948,0.939766948,121.807337,0.341997346,0.341997342
16-07-26_18_North7_Leg,0.006189754,0.115050027,0.115050026,0.004987554,0.062147309,0.062147309,2.80E-07,0.132524961,0.126057344,0.011571596,-0.900798009,-0.90079801,0.005710981,-0.900657681,-0.900657681,0.999982506,0.011785243,-,-,-,697.7322301,-0.051266008,-0.05126601,14.4116708,0.985954983,0.985954983,121.8325562,0.110645729,0.110645736
16-07-26_18_North8_Leg,0.004980885,-0.048469831,-0.048469831,0.003287439,-0.147245,-0.147245,2.41E-07,0.124289191,0.120824419,0.01287981,-0.84384022,-0.84384022,0.006356103,-0.8431726,-0.843172602,0.99997894,0.012997194,-,-,-,697.8022707,-0.090652924,-0.090652925,14.03403937,0.999670034,0.999670034,121.8662562,-0.289990052,-0.289990091
16-07-26_18_North9_Leg,0.007317019,-0.188590133,-0.188590133,0.004972373,0.108790361,0.108790361,2.96E-07,0.036090476,0.038524102,0.012236214,0.951537311,0.951537311,0.006039435,0.951454434,0.951454434,0.999980281,0.012582504,-,-,-,697.9614905,0.000687325,0.000687325,15.31235966,0.909944462,0.909944462,121.8343195,-0.347672989,-0.347672967
16-07-26_27_North1_Leg,0.006768676,0.287833074,0.287833074,0.004089059,0.021100609,0.021100609,2.43E-07,-0.027912722,-0.025820367,0.011258588,0.06593293,0.065932909,0.005468509,0.065897112,0.065897098,0.999979698,0.012648202,-,-,-,695.7712479,-0.022435183,-0.022435182,10.57006939,0.95082444,0.95082444,122.1550095,-0.049691641,-0.049691649
16-07-26_27_North10_Leg,0.007734484,0.037493249,0.037493249,0.003512298,0.034270533,0.034270533,2.99E-07,-0.155174718,-0.146256113,0.00942251,-0.964812774,-0.964812775,0.00457881,-0.964938599,-0.964938599,0.999983992,0.011261599,-,-,-,695.6206037,0.516821977,0.516821977,10.21319402,0.991878012,0.991878012,121.9386369,0.175264954,0.175264964
16-07-26_27_North2_Leg,0.006980099,0.022780929,0.022780928,0.004039286,0.118537223,0.118537223,2.84E-07,-0.066991838,-0.057661599,0.012065126,-0.159511883,-0.159511887,0.005860194,-0.160392628,-0.160392627,0.999976827,0.013614918,-,-,-,695.7209524,-0.166914892,-0.166914896,10.52573443,0.983364542,0.983364542,121.9030501,0.159789245,0.159789237
16-07-26_27_North3_Leg,0.007129376,0.08162508,0.08162508,0.004018805,-0.030605903,-0.030605903,2.91E-07,0.104705215,0.106390557,0.011432562,-0.902003366,-0.90200337,0.005553302,-0.903048961,-0.90304895,0.999979288,0.012864043,-,-,-,695.910213,-0.45798707,-0.457987067,10.03993092,0.99974507,0.99974507,122.167688,-0.04210519,-0.042105192
16-07-26_27_North4_Leg,0.007604345,0.563906822,0.563906822,0.004232607,0.114891903,0.114891903,2.92E-07,-0.033397115,-0.029003864,0.010431826,0.977451057,0.977451056,0.005068256,0.977217057,0.977217058,0.99998139,0.012098993,-,-,-,695.7980483,0.184392747,0.184392745,10.13765758,0.990897729,0.990897729,122.1178641,-0.138823007,-0.138823023
16-07-26_27_North5_Leg,0.007397769,-0.202357903,-0.202357903,0.004378203,0.0011583,0.0011583,2.50E-07,0.063009917,0.064085409,0.010976268,0.77878558,0.778785577,0.005333196,0.778488482,0.778488473,0.999978577,0.01295612,-,-,-,695.8234162,0.169069743,0.169069747,9.766336163,0.999692675,0.999692675,122.1556591,-0.192915069,-0.192915038
16-07-26_27_North6_Leg,0.007584213,0.155813157,0.155813157,0.003916174,0.101568874,0.101568874,3.38E-07,-0.1612514,-0.157909621,0.010954671,0.901181833,0.901181832,0.005321838,0.901555977,0.901555977,0.999979567,0.012844785,-,-,-,695.7060647,-0.113916198,-0.1139162,11.05946216,0.936511767,0.936511767,122.0356355,-0.231924743,-0.231924748
16-07-26_27_North7_Leg,0.00681581,0.369989677,0.369989677,0.004159968,0.085735582,0.085735582,2.27E-07,0.095132164,0.101626016,0.010791497,-0.401270917,-0.401270913,0.005243131,-0.394767588,-0.394767616,0.999979863,0.012743152,-,-,-,695.8979865,0.122266418,0.122266418,10.82244486,0.953063413,0.953063413,122.0535259,0.352384668,0.352384673
16-07-26_27_North8_Leg,0.007513103,0.062325129,0.062325129,0.004223862,0.061455089,0.061455089,3.03E-07,-0.150252377,-0.148403539,0.010438739,-0.977030387,-0.977030386,0.005071549,-0.977109291,-0.977109292,0.999981544,0.012124676,-,-,-,695.8907216,0.249737223,0.249737223,10.19520678,0.986374665,0.986374665,122.1383981,-0.560904353,-0.560904349
